player_id,yr,pa,ab,r,h,_1b,_2b,_3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
carpery01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpery01,2019,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
carraca01,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carraca01,2017,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
carraca01,2018,4,4,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0
carraca01,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carreez01,2016,310,270,47,67,51,9,1,6,23,7,4,27,70,0,4,7,2,8
carreez01,2017,325,287,38,81,62,10,1,8,20,10,1,30,75,0,3,5,0,4
carroco01,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrosc02,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cartech02,2016,644,549,84,122,53,27,1,41,94,3,1,76,206,1,9,0,10,18
cartech02,2017,208,184,20,37,23,5,1,8,26,0,0,20,76,0,2,0,2,5
casalcu01,2016,256,226,23,42,24,10,0,8,25,0,0,25,82,1,2,3,0,2
casalcu01,2017,13,9,2,3,2,0,0,1,3,0,0,3,3,0,0,0,1,0
casalcu01,2018,156,140,15,41,27,10,0,4,16,0,2,12,32,1,2,1,1,5
casalcu01,2019,236,207,24,52,35,9,0,8,32,0,0,25,59,1,1,0,3,1
cashnan01,2016,40,34,3,6,6,0,0,0,1,0,0,3,13,0,0,3,0,0
cashnan01,2017,7,5,0,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0
cashnan01,2018,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cashnan01,2019,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casteni01,2016,447,411,54,117,70,25,4,18,58,1,1,28,111,1,3,0,5,4
